track_id_x,track_name_x,track_number,track_popularity,explicit,artist_name_x,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,merge_key,artist_name_y,track_id_y,track_name_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_genre,is_chart_song
3hwQhakFwm9soLEBnSDH17,Venice Bitch,3,64,True,Lana Del Rey,88,51773650,"alternative pop, indie pop",5XpEKORZ4y6OrCZSKsi46A,Norman Fucking Rockwell!,2019-08-30,14,album,9.61,venice bitch_lana del rey,Lana Del Rey,7AluhhfZ0AO0Zw8MoUstzN,Venice Bitch,0.916,0.3879999999999999,576346,0.296,0.267,9,0.105,-13.04,0,0.0301,78.785,4,0.294,69,,True
0Rx0DJI556Ix5gBny6EWmn,Paradise,10,66,True,Bazzi,66,5506553,,4ZKdRW0AH9sxV09NmWsTkW,Soul Searching,2019-08-09,11,album,2.81,paradise_bazzi,Bazzi,7njKgVl3AnLflRad38o7AG,Paradise,0.0828,0.8440000000000001,169038,0.644,0.0,11,0.113,-6.273,0,0.0479,122.061,4,0.591,83,electro,True
7KhHA3mzt7A3LFlOJEAKpI,On My Way,2,41,True,Alan Walker,78,41264069,,1CLDNcfuwhl9KUrervfOQu,Live Fast (Japan Exclusive),2019-08-09,8,album,3.22,on my way_alan walker,Alan Walker,4n7jnSxVLd8QioibtTDBDq,On My Way,0.0209,0.509,193798,0.6890000000000001,0.0,1,0.301,-4.928999999999999,0,0.102,170.08700000000002,4,0.297,89,,False
1SBuYdJK3a3NU55nGomgAe,Kryptonite,5,53,False,3 Doors Down,71,4908790,post-grunge,3jpYIjli4tGKeVlqCl5ipC,Acoustic Back Porch Jam,2019-07-25,6,single,3.92,kryptonite_3 doors down,3 Doors Down,4h2wAqBUu9jaTAdrLttSRh,Kryptonite,0.24,0.608,235360,0.835,0.0,11,0.3,-6.157,0,0.0282,97.991,4,0.68,51,alt-rock,False
1SBuYdJK3a3NU55nGomgAe,Kryptonite,5,53,False,3 Doors Down,71,4908790,post-grunge,3jpYIjli4tGKeVlqCl5ipC,Acoustic Back Porch Jam,2019-07-25,6,single,3.92,kryptonite_3 doors down,3 Doors Down,4h2wAqBUu9jaTAdrLttSRh,Kryptonite,0.24,0.608,235360,0.835,0.0,11,0.3,-6.157,0,0.0282,97.991,4,0.68,51,alternative,False
1SBuYdJK3a3NU55nGomgAe,Kryptonite,5,53,False,3 Doors Down,71,4908790,post-grunge,3jpYIjli4tGKeVlqCl5ipC,Acoustic Back Porch Jam,2019-07-25,6,single,3.92,kryptonite_3 doors down,3 Doors Down,4h2wAqBUu9jaTAdrLttSRh,Kryptonite,0.24,0.608,235360,0.835,0.0,11,0.3,-6.157,0,0.0282,97.991,4,0.68,51,grunge,False
1SBuYdJK3a3NU55nGomgAe,Kryptonite,5,53,False,3 Doors Down,71,4908790,post-grunge,3jpYIjli4tGKeVlqCl5ipC,Acoustic Back Porch Jam,2019-07-25,6,single,3.92,kryptonite_3 doors down,3 Doors Down,4h2wAqBUu9jaTAdrLttSRh,Kryptonite,0.24,0.608,235360,0.835,0.0,11,0.3,-6.157,0,0.0282,97.991,4,0.68,51,metal,False
1SBuYdJK3a3NU55nGomgAe,Kryptonite,5,53,False,3 Doors Down,71,4908790,post-grunge,3jpYIjli4tGKeVlqCl5ipC,Acoustic Back Porch Jam,2019-07-25,6,single,3.92,kryptonite_3 doors down,3 Doors Down,4h2wAqBUu9jaTAdrLttSRh,Kryptonite,0.24,0.608,235360,0.835,0.0,11,0.3,-6.157,0,0.0282,97.991,4,0.68,51,rock,False
0POuQCMT4zyRzB2MjbzVaI,Bad Vibes,2,37,True,K.Flay,60,644838,,1CJDBCPg27ASz4eWE7oeNz,Solutions,2019-07-12,10,album,3.09,bad vibes_k.flay,K.Flay,2xAYunIkZaOTzbzYM8YM8B,Bad Vibes,0.0195,0.71,185800,0.716,0.0,5,0.0794,-6.777,1,0.314,97.974,4,0.602,63,,False
3okk47CKOqAm1TXmVPzNYf,Unshaken,1,60,False,D'Angelo,69,1427660,neo soul,5Oli3gQJrHdahY7FDEoofW,The Music of Red Dead Redemption 2 (Original Soundtrack),2019-07-12,13,compilation,3.88,unshaken_d'angelo,D'Angelo,5aozioXEMgxyttOvxCsckp,Unshaken,0.753,0.597,232702,0.285,0.0269,5,0.108,-18.446,0,0.0577,80.135,4,0.306,63,,False
